title,heading,content,tokens
Community First Case Study,Challenge,"Maintain high-touch, human connections through digital channels",11
Community First Case Study,Challenge,Accelerate sales/loans through highly personal member guidance,12
Community First Case Study,Challenge,"
Adapt to members’ digital lifestyles with a dynamic engagement platform",13
Community First Case Study,Solution,"Developed a human-centric digital strategy to serve members online with an emphasis on live, real-time connections",22
Community First Case Study,Solution,"
Prioritized conversations and member relationships over call deflection and handle time strategies",15
Community First Case Study,Solution,"Simplified the online loan process, greatly accelerating the loan cycle",13
Community First Case Study,Customer,"160,000+ members",5
Community First Case Study,Customer,$2.5B+ in assets under management,10
Community First Case Study,Customer,19 branches serving people who work or live in Florida’s First Coast region,16
Community First Case Study,Customer,Experiencing rapid growth (17.3% in 2021),13
Community First Case Study,Results,2x increase in loans converted,6
Community First Case Study,Results,9x increase in proactive engagements,6
Community First Case Study,Results,36% increase in sales,5
Community First Case Study,Desciption,"Community First took a human-centric approach to digitally transforming its member services. The credit union focused its strategy on how digital channels could enable better ways to connect with members over strategies to deflect phone calls.
A chat solution alone was not going to provide the rich, personal engagement that Community First wanted for its online member experience. Adding separate chat, video and CoBrowsing apps would only create a disparate system that makes online connections complicated and even confusing.",91
Community First Case Study,Desciption,"The Glia platform provides Community First with OnScreen collaboration tools that streamline digital processes. Live Observation, for example, allows service representatives to see the same screen as a member within the Community First website and quickly understand how best to provide support. This allows service reps to proactively reach out and offer guidance for loans. Asking if a member would like help with the application as they are reviewing the auto loan page, for example.CoBrowsing gets even more proactive. With a member’s consent, reps can help them navigate the site, find online resources and even fill out applications. This accelerates the loan process for members while reducing the abandonment rate and driving up conversions. Community First immediately saw results from this proactive approach, helping it to significantly grow its loan business.",159
Community First Case Study,Desciption,"Community First explored solutions that could provide the full range of digital channels, allowing members to choose how they
connect and enabling them to transition between channels without disrupting the member experience. After evaluating a number of solutions, Community First chose Glia for its mature Digital Customer Service (DCS) platform, providing seamless member engagements across all channels.
Community First deployed Glia to support online and mobile banking, digital sales and its express team, focused on loan origination. The credit union goes the extra mile to personalize digital service.",105
Community First Case Study,Quote,"We really emphasize the human touch in our digital service. We even put a selfie image of each representative right into the engagement bubble to reinforce that. We see our members responding to this human connection in our survey feedback. They really connect with that person on the other end. They are using a digital channel and might not even see the representative, but they connected in that engagement for one-to-one member service,” said Laura Lobetti, Digital Experience Manager, Community First Credit Union.
",100
Unitus Case Study,Customer,"More than 100,000 members",6
Unitus Case Study,Customer,1.5B assets under management,7
Unitus Case Study,Customer,"24,000 calls a month",6
Unitus Case Study,Customer,Located in Portland Oregon,4
Unitus Case Study,Customer,"Unitus Community Credit Union is the seventh-largest credit union in Oregon with more than 100,000 members. The Portland-based organization is committed to providing excellent service and routinely handles about 24,000 calls a month from members across Oregon and Washington states. With a focus on member experience, Unitus realized it needed to expand beyond brick-and-mortar branches to fully serve them, especially as social distancing emerged. The credit union had offered online banking for more than a decade and converted to the Alkami digital banking platform in 2019.",110
Unitus Case Study,Challenge,Expand member access to product and services,8
Unitus Case Study,Challenge,Increase adoption and comfort with online banking,7
Unitus Case Study,Challenge,Reduce reliance on in-person servicing & physical branches,11
Unitus Case Study,Challenge,"Unitus was faced with two challenges. Having replaced its online banking platform to provide a better digital experience, the credit union wanted to increase adoption and help members successfully use the new services—especially revenue-generating loan applications—without having to disrupt their online experience to dial the call center for support.
They also wanted to increase convenience and access by “meeting members where they are” with the full suite of product and service offerings, without having to expand the brick-and- mortar footprint. Personalized and consultative conversations face-to-face were a key component to the success of this model.",124
Unitus Case Study,Solution,"Members can get support from “where they are” without needing to call, launch an app or visit a branch",24
Unitus Case Study,Solution,"Glia’s video-banking feature supports consultative marketing of services, including revenue-generating loans",23
Unitus Case Study,Solution,Call-handling times have reduced for several call types while satisfaction scores have risen,16
Unitus Case Study,Solution,Launched a virtual branch model powered by Glia,10
Unitus Case Study,Solution,The credit union can proactively reach out to members who are struggling with online services,16
Unitus Case Study,Solution,Integrated seamlessly with the Alkami desktop online banking platform,12
Unitus Case Study,Solution,Members benefit from advanced features such as document sharing and CoBrowsing,14
Unitus Case Study,Results,28% reduction in online banking handle times,8
Unitus Case Study,Results,85% of visits would use again,7
Unitus Case Study,Results,4.7/5 CSAT score,8
Unitus Case Study,Quote,"Members benefit from advanced features such as document sharing and CoBrowsing.
Char Sears, AVP & Remote Experience Manager, Unitus",28
Regional Neighborhood Bank Case Study,Customer,10B assets under management,5
Regional Neighborhood Bank Case Study,Customer,Significant growth organically and via acquisitions from 2017 to 2019,12
Regional Neighborhood Bank Case Study,Customer,"Top-rated by Money Magazine, Forbes, J.D. Power and others",16
